Mes,Generadas,Aprobadas,Condicionadas,Rechazadas,Formalizadas,% de Aprobacion,% de Formalizacion
"Enero, 24",5,1,0,4,1,0.2,0.5
"Febrero, 24",6,2,0,4,1,0.3333333333333333,0.5
"Marzo, 24",11,7,1,4,5,0.6363636363636364,0.7142857142857143
"Abril, 24",23,14,0,9,11,0.6086956521739131,0.7857142857142857
"Mayo, 24",26,8,4,14,3,0.3076923076923077,0.375
"Junio, 24",43,13,0,22,6,0.3023255813953488,0.46153846153846156
"Julio, 24",55,30,3,17,17,0.5454545454545454,0.5666666666666667
"Agosto, 24",36,19,0,13,9,0.5277777777777778,0.47368421052631576
"Septiembre, 24",56,26,1,13,7,0.4642857142857143,0.2692307692307692
"Octubre, 24",79,31,32,12,14,0.3924050632911392,0.45161290322580644
"Noviembre, 24",76,25,26,25,14,0.32894736842105265,0.56
"Diciembre, 25",103,39,33,26,17,0.3786407766990291,0.4358974358974359
"Enero, 25",83,30,25,26,19,0.3614457831325301,0.6333333333333333
"Febrero, 25",76,27,18,21,12,0.35526315789473684,0.4444444444444444
"Marzo, 25",92,31,27,30,20,0.33695652173913043,0.6451612903225806
"Abril, 25",59,35,6,16,17,0.5932203389830508,0.4857142857142857
"Mayo, 25",76,40,7,25,19,0.5263157894736842,0.475
"Junio, 25",97,46,25,22,25,0.4742268041237113,0.5434782608695652
"Julio, 25",104,41,22,33,21,0.3942307692307692,0.5121951219512195
